time,close,high,low,open,volumefrom,volumeto
1515709140,1166.14,1167.43,1165.86,1167.43,149.73,174968.66
1515709200,1166.57,1167.25,1165.34,1166.14,283.47,330436.13
1515709260,1169.15,1169.59,1166.57,1166.57,193.96,226525.66
1515709320,1169.47,1169.74,1169.09,1169.15,137.39,162976.99
1515709380,1169.7,1170.19,1168.78,1169.47,152.6,178953.72
1515709440,1169.11,1170.51,1169.05,1169.7,170.97,200125.76
1515709500,1169.26,1170.24,1169.11,1169.11,150.19,175546.94
1515709560,1169.19,1169.67,1169.19,1169.26,181.45,213694.42
1515709620,1169.46,1169.62,1169.19,1169.19,93.45,110022.71
1515709680,1169.93,1169.93,1169.42,1169.46,193.5,226534.53
1515709740,1170.16,1170.18,1169.83,1169.93,275.36,324055.92
1515709800,1169.72,1170.2,1169.59,1170.16,355.35,417513.82
1515709860,1169.95,1170.04,1169.7,1169.72,304.16,356538.67
1515709920,1170.21,1170.21,1168.91,1169.95,372.43,434882.06
1515709980,1170.14,1170.83,1168.86,1170.21,234.7,275367.59
1515710040,1169.3,1170.94,1168.74,1170.17,473.39,552124.33
1515710100,1169.61,1169.87,1168.5,1168.98,169.16,197845.86
1515710160,1169.41,1170.22,1168.82,1169.61,282.47,331399.85
1515710220,1168.45,1169.68,1168.41,1169.41,261.67,305200.87
1515710280,1164.93,1168.86,1164.93,1168.45,998.8,1164437.65
1515710340,1160.19,1164.97,1158.71,1164.93,513.89,595753.89
1515710400,1156.51,1160.19,1156.15,1160.19,581.86,676418.81
1515710460,1155.14,1156.89,1154.76,1156.51,341.44,394196.1
1515710520,1152.58,1155.35,1150.65,1154.92,1105.11,1271446.65
1515710580,1152.32,1152.99,1150.83,1152.58,591.45,679425.55
1515710640,1150.42,1152.45,1149.99,1152.32,544.41,624932.22
1515710700,1146.94,1150.82,1146.56,1150.32,925.82,1063092.54
1515710760,1146.44,1148.21,1145.44,1146.94,471.82,540451.96
1515710820,1147.41,1147.99,1145.96,1146.44,625.77,715002.48
1515710880,1148.83,1149.28,1147.29,1147.41,569.9,655051.56
1515710940,1134.07,1149.3,1133.14,1148.83,2866.8,3261061.9
1515711000,1134.24,1136.7,1133.76,1136.33,633.04,718488.5
1515711060,1130.79,1135.41,1130.22,1134.2,1712.73,1936821.86
1515711120,1128.11,1131.07,1127.96,1130.79,1020.95,1152905.88
1515711180,1121.15,1128.11,1118.11,1128.11,2530.05,2839847.94
1515711240,1118.31,1122.58,1116.31,1121.14,2400.64,2676837.18
1515711300,1116.32,1118.31,1112.92,1118.31,1769.25,1970737.88
1515711360,1124.96,1125.98,1116.31,1116.31,2492.15,2795603.28
1515711420,1124.87,1128.39,1124.37,1124.96,1756.72,1972541.76
1515711480,1128.33,1128.47,1123.97,1125.53,551.2,620463.52
1515711540,1132.31,1132.68,1127.98,1128.19,902.77,1021006.84
1515711600,1128.72,1133.08,1128.65,1132.07,1362.29,1537873.77
1515711660,1131,1132.06,1128.25,1128.72,561.24,634294.66
1515711720,1124.39,1131.63,1123.24,1131,1314.2,1476921.61
1515711780,1124.17,1124.73,1123.63,1124.39,904.08,1014387.14
1515711840,1120.4,1124.56,1119.28,1124.31,615.9,694317.11
1515711900,1117.77,1120.78,1117.61,1120.4,1120.58,1249757.04
1515711960,1120.95,1120.96,1116.81,1117.59,1204.2,1344452.42
1515712020,1122.55,1122.55,1119.37,1120.95,715.12,800148.98
1515712080,1122.56,1124.18,1121.68,1121.81,1092.62,1222141.43
1515712140,1119.68,1122.49,1119.49,1122.42,945.66,1074304.59
1515712200,1115.69,1120.63,1115.01,1119.45,1149.76,1282818.59
1515712260,1110.67,1115.86,1110.58,1115.69,1233.11,1369433.99
1515712320,1115.47,1115.56,1107.61,1110.67,1831.12,2029323.08
1515712380,1102.1,1115.73,1101.62,1115.49,2548.63,2809911.03
1515712440,1103.19,1105.14,1100.85,1101.79,2290.69,2523620.34
1515712500,1106.61,1107.05,1102.65,1103.15,2282.21,2521653.63
1515712560,1107.44,1108.24,1105.8,1106.39,967.62,1069667.4
1515712620,1111.3,1111.97,1107.26,1107.45,673.64,751416.62
1515712680,1114.6,1114.81,1111.26,1111.3,696.23,775314.65
1515712740,1120.58,1121.26,1114.5,1114.6,1094.33,1223342.11
1515712800,1114.83,1122.03,1113.69,1120.58,1506.01,1682265.31
1515712860,1115.36,1115.7,1113.5,1114.83,342.86,381374.04
1515712920,1116.66,1117.85,1115.26,1115.36,564.18,629980.99
1515712980,1119.24,1119.24,1115.63,1116.66,688.27,768650.71
1515713040,1117.61,1119.4,1117.22,1119.24,531.68,593121.39
1515713100,1114.78,1117.3,1113.98,1117.26,569.99,634871.68
1515713160,1121.13,1121.13,1114.47,1114.75,969.52,1082769.13
1515713220,1130.75,1130.75,1120.95,1121.13,1273.12,1434521.74
1515713280,1137.31,1138.15,1130.18,1130.75,654.26,743189.28
1515713340,1134.26,1140.37,1133.74,1137.31,1381.95,1572916.8
1515713400,1129.35,1135.28,1128.26,1134.53,1249.32,1410260.12
1515713460,1129.96,1130.4,1128.52,1129.38,397.31,448840.77
1515713520,1133.73,1134.14,1129.51,1129.96,754.4,854825.81
1515713580,1134.78,1137.05,1133.81,1133.81,655.51,743873.86
1515713640,1135.44,1136.49,1132.77,1134.78,1176.21,1331253.13
1515713700,1135.81,1136.03,1134.86,1135.44,699.65,794883.94
1515713760,1138.61,1139.02,1135.02,1135.78,560.84,638693.06
1515713820,1138.9,1140.58,1138.5,1138.61,846.22,965264.02
1515713880,1141.16,1141.26,1138.81,1138.91,566.87,645333.12
1515713940,1132.89,1143.34,1132.78,1141.28,2300.8,2597695.63
1515714000,1135.11,1137.18,1132.89,1132.89,573.73,653843.6
1515714060,1133.33,1135.11,1131.38,1135.11,745.7,843087.98
1515714120,1133.6,1134.18,1131.97,1132.61,466.57,529467.27
1515714180,1129.55,1133.6,1129.48,1133.6,317.43,359141.77
1515714240,1132.01,1132.64,1128.89,1129.48,495.53,558947.23
1515714300,1131.58,1132.26,1131.17,1132.05,231.63,262467.47
1515714360,1131.61,1131.62,1130.69,1131.15,293.56,331340.13
1515714420,1133.46,1133.46,1131.15,1131.61,292.61,330702.78
1515714480,1133.42,1134.07,1133.42,1133.46,333.31,377925
1515714540,1128.44,1133.34,1127.95,1133.34,498.31,561621.68
1515714600,1132.66,1132.68,1128.06,1128.44,705.62,797804.98
1515714660,1130.04,1133.12,1128.23,1132.67,1333.06,1485251.57
1515714720,1132.33,1132.33,1128.85,1129.76,466.63,526942.48
1515714780,1133.46,1133.7,1132.32,1132.33,364.65,412346.15
1515714840,1135.26,1135.36,1133.33,1133.46,352.14,400302.77
1515714900,1135.99,1136.31,1132.25,1135.26,1467.58,1640274.81
1515714960,1140.51,1140.61,1136.59,1136.59,633.32,720911.25
1515715020,1144.79,1145.11,1140.1,1140.52,1327.2,1517885.14
1515715080,1142.2,1146.45,1141.76,1144.79,1141.34,1304517.91
1515715140,1139.32,1142.2,1139.29,1142.2,120.09,137346.58
1515715200,1139.73,1140.53,1138.74,1139.32,261.89,298758
1515715260,1140.55,1140.94,1139.73,1139.73,336.25,383850.82
1515715320,1135.28,1140.55,1133.99,1140.55,1162.48,1323467.25
1515715380,1131.67,1135.28,1131.67,1135.28,521.81,590553.87
